线路,编号,站名,换乘站?
1,1,西塱,1
1,2,坑口,0
1,3,花地湾,0
1,4,芳村,0
1,5,黄沙,1
1,6,长寿路,0
1,7,陈家祠,1
1,8,西门口,0
1,9,公园前,1
1,10,农讲所,0
1,11,烈士陵园,0
1,12,东山口,1
1,13,杨箕,1
1,14,体育西路,1
1,15,体育中心,0
1,16,广州东站,1
2,1,广州南站,1
2,2,石壁,1
2,3,会江,0
2,4,南浦,0
2,5,洛溪,0
2,6,南洲,1
2,7,东晓南,0
2,8,江泰路,0
2,9,昌岗,1
2,10,江南西,0
2,11,市二宫,0
2,12,海珠广场,1
2,13,公园前,1
2,14,纪念堂,0
2,15,越秀公园,0
2,16,广州火车站,1
2,17,三元里,0
2,18,飞翔公园,0
2,19,白云公园,0
2,20,白云文化广场,0
2,21,萧岗,0
2,22,江夏,0
2,23,黄边,0
2,24,嘉禾望岗,1
3,1,番禺广场,1
3,2,市桥,0
3,3,汉溪长隆,1
3,4,大石,0
3,5,厦滘,0
3,6,沥滘,1
3,7,大塘,0
3,8,客村,1
3,9,广州塔,1
3,10,珠江新城,1
3,11,体育西路,1
3,17,林和西,1
3,18,广州东站,1
3,19,燕塘,1
3,20,梅花园,0
3,21,京溪南方医院,0
3,22,同和,0
3,23,永泰,0
3,24,白云大道北,0
3,25,嘉禾望岗,1
3,26,龙归,0
3,27,人和,0
3,28,高增,1
3,29,机场南（1号航站楼）,0
3,30,机场北（2号航站楼）,0
4,1,南沙客运港,0
4,2,南横,0
4,3,塘坑,0
4,4,大涌,0
4,5,广隆,0
4,6,飞沙角,0
4,7,金洲,0
4,8,蕉门,0
4,9,黄阁,0
4,10,黄阁汽车城,0
4,11,庆盛,0
4,12,东涌,0
4,13,低涌,0
4,14,海傍,0
4,15,石碁,0
4,17,新造,0
4,18,大学城南,1
4,19,大学城北,0
4,20,官洲,0
4,21,万胜围,1
4,22,车陂南,1
4,23,车陂,0
4,24,黄村,1
5,1,滘口,0
5,2,坦尾,1
5,3,中山八,0
5,4,西场,0
5,5,西村,1
5,6,广州火车站,1
5,7,小北,0
5,8,淘金,0
5,9,区庄,1
5,10,动物园,0
5,11,杨箕,1
5,12,五羊邨,0
5,13,珠江新城,1
5,14,猎德,0
5,15,潭村,0
5,16,员村,1
5,17,科韵路,0
5,18,车陂南,1
5,19,东圃,0
5,20,三溪,0
5,21,鱼珠,1
5,22,大沙地,0
5,23,大沙东,0
5,24,文冲,0
6,1,浔峰岗,0
6,2,横沙,0
6,3,沙贝,0
6,4,河沙,0
6,5,坦尾,1
6,6,如意坊,0
6,7,黄沙,1
6,8,文化公园,1
6,9,一德路,0
6,10,海珠广场,1
6,11,北京路,0
6,12,团一大广场,0
6,13,东湖,0
6,14,东山口,1
6,15,区庄,1
6,16,黄花岗,0
6,17,沙河顶,0
6,19,天平架,0
6,20,燕塘,1
6,21,天河客运站,1
6,22,长湴,0
6,23,植物园,0
6,24,龙洞,0
6,25,柯木塱,0
6,26,高塘石,0
6,27,黄陂,0
6,28,金峰,0
6,29,暹岗,0
6,30,苏元,1
6,31,萝岗,0
6,32,香雪,0
7,-8,美的大道,0
7,-7,北滘公园,0
7,-6,美的,0
7,-5,南涌,0
7,-4,锦龙,0
7,-3,陈村,0
7,-2,陈村北,0
7,-1,大洲,0
7,1,广州南站,1
7,2,石壁,1
7,3,谢村,0
7,4,钟村,0
7,5,汉溪长隆,1
7,6,南村万博,1
7,7,员岗,0
7,8,板桥,0
7,9,大学城南,1
8,1,滘心,0
8,2,亭岗,0
8,3,石井,0
8,4,小坪,0
8,5,石潭,0
8,6,聚龙,0
8,7,上步,0
8,8,同德,0
8,9,鹅掌坦,0
8,10,西村,1
8,12,陈家祠,1
8,13,华林寺,0
8,14,文化公园,1
8,15,同福西,0
8,16,凤凰新村,0
8,17,沙园,1
8,18,宝岗大道,0
8,19,昌岗,1
8,20,晓港,0
8,21,中大,0
8,22,鹭江,0
8,23,客村,1
8,24,赤岗,0
8,25,磨碟沙,1
8,26,新港东,0
8,27,琶洲,0
8,28,万胜围,1
9,1,飞鹅岭,0
9,2,花都汽车城,0
9,3,广州北站,0
9,4,花城路,0
9,5,花果山公园,0
9,6,花都广场,0
9,7,马鞍山公园,0
9,8,莲塘,0
9,9,清㘵,0
9,10,清塘,0
9,11,高增,1
3Z,11,体育西路,1
3Z,12,石牌桥,0
3Z,13,岗顶,0
3Z,14,华师,0
3Z,15,五山,0
3Z,16,天河客运站,1
13,1,鱼珠,1
13,2,裕丰围,0
13,3,双岗,0
13,4,南海神庙,0
13,5,夏园,0
13,6,南岗,0
13,7,沙村,0
13,8,白江,0
13,9,新塘,0
13,10,官湖,0
13,11,新沙,0
14,1,嘉禾望岗,1
14,2,白云东平,0
14,3,夏良,0
14,4,太和,0
14,5,竹料,0
14,6,钟落潭,0
14,7,马沥,0
14,8,新和,1
14,9,太平,0
14,10,神岗,0
14,11,赤草,0
14,12,从化客运站,0
14,13,东风,0
14Z,8,新和,1
14Z,14,红卫,0
14Z,15,新南,0
14Z,16,枫下,0
14Z,17,知识城,0
14Z,18,何棠下,0
14Z,19,旺村,0
