站1线路,站1编号,站1名称,站2线路,站2编号,站2名称, 时间(秒)
1,1,西塱,1,2,坑口,235
1,2,坑口,1,3,花地湾,209
1,3,花地湾,1,4,芳村,242
1,4,芳村,1,5,黄沙,259
1,5,黄沙,1,6,长寿路,218
1,6,长寿路,1,7,陈家祠,246
1,7,陈家祠,1,8,西门口,217
1,8,西门口,1,9,公园前,222
1,9,公园前,1,10,农讲所,257
1,10,农讲所,1,11,烈士陵园,232
1,11,烈士陵园,1,12,东山口,244
1,12,东山口,1,13,杨箕,243
1,13,杨箕,1,14,体育西路,267
1,14,体育西路,1,15,体育中心,244
1,15,体育中心,1,16,广州东站,286
2,1,广州南站,2,2,石壁,191
2,2,石壁,2,3,会江,288
2,3,会江,2,4,南浦,293
2,4,南浦,2,5,洛溪,233
2,5,洛溪,2,6,南洲,295
2,6,南洲,2,7,东晓南,219
2,7,东晓南,2,8,江泰路,280
2,8,江泰路,2,9,昌岗,227
2,9,昌岗,2,10,江南西,231
2,10,江南西,2,11,市二宫,231
2,11,市二宫,2,12,海珠广场,228
2,12,海珠广场,2,13,公园前,249
2,13,公园前,2,14,纪念堂,232
2,14,纪念堂,2,15,越秀公园,215
2,15,越秀公园,2,16,广州火车站,232
2,16,广州火车站,2,17,三元里,247
2,17,三元里,2,18,飞翔公园,247
2,18,飞翔公园,2,19,白云公园,252
2,19,白云公园,2,20,白云文化广场,227
2,20,白云文化广场,2,21,萧岗,229
2,21,萧岗,2,22,江夏,253
2,22,江夏,2,23,黄边,238
2,23,黄边,2,24,嘉禾望岗,268
3,1,番禺广场,3,2,市桥,278
3,2,市桥,3,3,汉溪长隆,396
3,3,汉溪长隆,3,4,大石,285
3,4,大石,3,5,厦滘,257
3,5,厦滘,3,6,沥滘,250
3,6,沥滘,3,7,大塘,275
3,7,大塘,3,8,客村,256
3,8,客村,3,9,广州塔,245
3,9,广州塔,3,10,珠江新城,240
3,10,珠江新城,3,11,体育西路,247
3,11,体育西路,3,17,林和西,230
3,17,林和西,3,18,广州东站,245
3,18,广州东站,3,19,燕塘,250
3,19,燕塘,3,20,梅花园,280
